City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Macaubas,BR,64.17,broken clouds,-13.0194,-42.6986,Hotel Portal
220,Lucapa,AO,66.6,overcast clouds,-8.4192,20.7447,Lírio Mendes
222,Maraa,BR,71.64,light rain,-1.8333,-65.3667,
226,Porto Belo,BR,76.15,scattered clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
229,Sumbawanga,TZ,62.85,overcast clouds,-7.9667,31.6167,Matamba II Guest House
231,Buctzotz,MX,69.26,scattered clouds,21.2,-88.7833,Buctoztz
232,Valparai,IN,73.67,overcast clouds,10.3667,76.9667,Hotel Holiday Break
233,Tabou,CI,74.19,clear sky,4.423,-7.3528,hotêl doufoulougou
239,Sao Geraldo Do Araguaia,BR,71.92,broken clouds,-6.4006,-48.555,Hotel Por do Sol
241,Sur,OM,75.9,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
244,Obo,CF,76.33,few clouds,5.3998,26.4869,
248,Libertador General San Martin,AR,71.98,overcast clouds,-23.8064,-64.7876,Posada del Sol
249,Amapa,BR,69.91,overcast clouds,1.0,-52.0,
250,Celestun,MX,75.58,few clouds,20.8667,-90.4,Posada Lilia
253,Mount Isa,AU,78.57,light intensity shower rain,-20.7333,139.5,ibis Styles Mt Isa Verona
255,Grand-Santi,GF,71.51,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
257,Beeville,US,72.63,overcast clouds,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
260,Jodhpur,IN,68.36,scattered clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
262,Nhulunbuy,AU,77.61,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
264,Victor Harbor,AU,75.69,clear sky,-35.5667,138.6167,McCracken Country Club
265,Sawakin,SD,76.24,overcast clouds,19.1059,37.3321,فندق الدويم
268,Christchurch,NZ,67.41,broken clouds,-43.5333,172.6333,The George
269,Dharchula,IN,61.07,clear sky,29.85,80.5333,Mahara Hotel
270,Iracoubo,GF,74.44,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
275,Taoudenni,ML,61.63,clear sky,22.6783,-3.9836,
280,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
282,Cidreira,BR,72.57,overcast clouds,-30.1811,-50.2056,Hotel Castelo
284,Iralaya,HN,76.91,light rain,15.0,-83.2333,Iglesia morava renovada
291,Avarua,CK,77.05,moderate rain,-21.2078,-159.775,Paradise Inn
299,Castro,BR,60.93,clear sky,-24.7911,-50.0119,CHACARA BAILLY
302,Touros,BR,76.8,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
304,Purificacion,CO,71.1,scattered clouds,3.8587,-74.9313,Hotel Villa de las Palmas
305,Ixtapa,MX,70.23,clear sky,20.7,-105.2,hotel la terminal
308,Wanning,CN,66.45,overcast clouds,18.8003,110.3967,Paradise Hotel
312,Zhangzhou,CN,66.13,few clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
322,Atar,MR,66.24,clear sky,20.5169,-13.0499,Oumou Elghoura
323,Macas,EC,66.65,light rain,-2.3167,-78.1167,Casa Upano
325,Kindu,CD,71.73,overcast clouds,-2.95,25.95,Résidence Okanda
328,Mount Gambier,AU,70.14,clear sky,-37.8333,140.7667,The Commodore
329,Cabo San Lucas,MX,69.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
331,Cayenne,GF,73.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
332,Namibe,AO,72.81,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
336,Verrettes,HT,70.16,clear sky,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
341,Sao Jose Da Coroa Grande,BR,75.69,light rain,-8.8978,-35.1478,Crôa Mares Hotel
342,Lamar,US,63.36,fog,33.6668,-95.5836,Kings Inn Paris TX
343,San Ignacio,BZ,68.14,clear sky,17.1561,-89.0714,Rainforest Haven Inn
352,Ballina,AU,78.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
355,Tavares,US,63.16,mist,28.8042,-81.7256,"Holiday Inn Express & Suites Tavares - Leesburg, an IHG Hotel"
356,La Ligua,CL,62.13,clear sky,-32.4524,-71.2311,Hotel Anchimallen
357,Ojinaga,MX,66.42,overcast clouds,29.5667,-104.4167,Suites Las Palmas
364,Contai,IN,76.41,clear sky,21.7786,87.7536,PATHFINDER
366,Antofagasta,CL,63.68,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
369,Qui Nhon,VN,74.89,overcast clouds,13.7667,109.2333,Seagull Hotel
